week_reported,season,Week,age0to4,age5to24,age25to49,age50to64,age64plus,TotalILI,TotalPatients,UnweightedILI,WeightedILI,date,date_week,date_reported,date_reported_week
40,2010,40,6654.0,19270.0,5715.0,1417.0,620.0,33676.0,587010.0,5.737,6.055,2009-10-04,1,2009-10-04,1
41,2010,40,7799.0,23062.0,,6991.0,1882.0,756.0,40490.0,699438.0,5.789,2009-10-04,1,2009-10-11,2
42,2010,40,8163.0,24065.0,,7368.0,1962.0,795.0,42353.0,736552.0,5.75,2009-10-04,1,2009-10-18,3
43,2010,40,8400.0,24811.0,,7671.0,2048.0,848.0,43778.0,773251.0,5.66155103582,2009-10-04,1,2009-10-25,4
44,2010,40,8607.0,25573.0,,7942.0,2102.0,859.0,45083.0,790541.0,5.70280352316,2009-10-04,1,2009-11-01,5
45,2010,40,8730.0,26001.0,,8039.0,2125.0,871.0,45766.0,800299.0,5.71861266852,2009-10-04,1,2009-11-08,6
46,2010,40,8950.0,26138.0,,8051.0,2126.0,872.0,46137.0,805069.0,5.73081313527,2009-10-04,1,2009-11-15,7
47,2010,40,8956.0,26227.0,,8063.0,2127.0,872.0,46245.0,807702.0,5.72550272254,2009-10-04,1,2009-11-22,8
48,2010,40,8961.0,26298.0,,8075.0,2128.0,872.0,46334.0,814653.0,5.68757495523,2009-10-04,1,2009-11-29,9
49,2010,40,8984.0,26338.0,,8082.0,2128.0,869.0,46401.0,816561.0,5.68249034671,2009-10-04,1,2009-12-06,10
50,2010,40,8985.0,26340.0,,8083.0,2128.0,869.0,46405.0,817003.0,5.67990570414,2009-10-04,1,2009-12-13,11
51,2010,40,8988.0,26348.0,,8083.0,2128.0,869.0,46416.0,818461.0,5.67113155056,2009-10-04,1,2009-12-20,12
52,2010,40,9070.0,26470.0,,8114.0,2146.0,873.0,46673.0,822051.0,5.67762827367,2009-10-04,1,2009-12-27,13
1,2010,40,9075.0,26487.0,,8130.0,2155.0,877.0,46724.0,823273.0,5.6753956464,2009-10-04,1,2010-01-03,13
2,2010,40,9076.0,26489.0,,8132.0,2157.0,877.0,46731.0,823725.0,5.67313120277,2009-10-04,1,2010-01-10,14
