PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
HHS Regions,Region 1,1997,40,44,7053,32,0.49853478965969,0.623848007939884,15,22,7,,,0
HHS Regions,Region 2,1997,40,3,780,7,0.374963153832028,0.384615384615385,0,0,3,,,0
HHS Regions,Region 3,1997,40,32,2385,16,1.35427537035188,1.34171907756813,6,15,7,,,4
HHS Regions,Region 4,1997,40,46,10222,29,0.400338225380419,0.450009782821366,12,11,23,,,0
HHS Regions,Region 5,1997,40,89,9875,49,1.2292558383949,0.90126582278481,31,30,24,,,4
HHS Regions,Region 6,1997,40,5,669,4,1.01898390565067,0.747384155455904,2,2,1,,,0
HHS Regions,Region 7,1997,40,27,2342,14,0.871790835408005,1.15286080273271,0,18,4,,,5
HHS Regions,Region 8,1997,40,5,1183,5,0.516016760331968,0.422654268808115,2,3,0,,,0
HHS Regions,Region 9,1997,40,243,10758,23,1.80760681240087,2.25878416062465,80,74,76,,,13
HHS Regions,Region 10,1997,40,76,1575,13,4.74351763893924,4.82539682539683,31,30,12,,,3
HHS Regions,Region 1,1997,41,57,6987,29,0.642668742348221,0.81580077286389,14,29,14,,,0
HHS Regions,Region 2,1997,41,2,872,7,0.315665660010575,0.229357798165138,0,0,2,,,0
HHS Regions,Region 3,1997,41,42,2740,17,1.47978294807162,1.53284671532847,4,16,19,,,3
HHS Regions,Region 4,1997,41,44,11310,31,1.42388640748169,0.389036251105217,21,14,7,,,2
HHS Regions,Region 5,1997,41,104,9618,48,1.13600386057512,1.08130588479933,36,41,23,,,4
HHS Regions,Region 6,1997,41,6,684,4,1.44931924660515,0.87719298245614,2,2,2,,,0
HHS Regions,Region 7,1997,41,15,2315,14,0.44915409577792,0.647948164146868,0,13,0,,,2
HHS Regions,Region 8,1997,41,9,1254,6,0.50308010070191,0.717703349282297,0,8,1,,,0
HHS Regions,Region 9,1997,41,274,10677,23,1.39478182850605,2.56626393181605,103,84,76,,,11
HHS Regions,Region 10,1997,41,62,1566,12,3.98637294391491,3.95913154533844,19,35,7,,,1
HHS Regions,Region 1,1997,42,85,6934,40,2.89907954150275,1.22584366887799,35,35,15,,,0
HHS Regions,Region 2,1997,42,1,786,7,0.310563977803286,0.127226463104326,0,0,0,,,1
