REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,H3N2v
HHS Regions,Region 1,1997,40,51,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,40,152,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,40,143,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,40,98,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,40,147,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,40,343,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,40,133,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,40,78,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,40,98,0,0,0,0,0,0,0,0
HHS Regions,Region 10,1997,40,48,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,41,54,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,41,172,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,41,184,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,41,93,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,41,186,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,41,417,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,41,147,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,41,81,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,41,105,0,0,0,0,0,0,0,0
HHS Regions,Region 10,1997,41,74,14.8648648648649,0,0,0,0,11,0,0
HHS Regions,Region 1,1997,42,43,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,42,169,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,42,155,0.645161290322581,0,0,0,0,0,1,0
HHS Regions,Region 4,1997,42,103,1.94174757281553,0,0,0,0,2,0,0
HHS Regions,Region 5,1997,42,188,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,42,411,0.24330900243309,0,0,0,0,1,0,0
HHS Regions,Region 7,1997,42,163,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,42,95,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,42,137,2.18978102189781,0,0,2,0,1,0,0
HHS Regions,Region 10,1997,42,88,11.3636363636364,0,0,1,0,9,0,0
HHS Regions,Region 1,1997,43,56,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,43,206,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,43,181,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,43,145,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,43,198,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,43,444,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,43,174,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,43,77,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,43,116,6.03448275862069,0,0,0,0,7,0,0
HHS Regions,Region 10,1997,43,72,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,44,60,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,44,214,3.73831775700935,0,0,8,0,0,0,0
HHS Regions,Region 3,1997,44,192,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,44,133,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,44,232,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,44,578,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,44,181,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,44,98,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,44,132,1.51515151515152,0,0,1,0,1,0,0
HHS Regions,Region 10,1997,44,77,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,45,74,1.35135135135135,0,0,0,0,1,0,0
HHS Regions,Region 2,1997,45,238,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,45,216,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,45,153,0.65359477124183,0,0,0,0,1,0,0
HHS Regions,Region 5,1997,45,224,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,45,661,0.151285930408472,0,0,0,0,1,0,0
HHS Regions,Region 7,1997,45,197,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,45,123,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,45,124,2.41935483870968,0,0,0,0,3,0,0
HHS Regions,Region 10,1997,45,96,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,46,70,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,46,235,0.851063829787234,0,0,0,0,1,1,0
HHS Regions,Region 3,1997,46,195,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,46,165,1.21212121212121,0,0,1,0,1,0,0
HHS Regions,Region 5,1997,46,279,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,46,728,0.137362637362637,0,0,0,0,1,0,0
HHS Regions,Region 7,1997,46,227,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,46,104,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,46,140,2.14285714285714,0,0,2,0,1,0,0
HHS Regions,Region 10,1997,46,61,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,47,74,1.35135135135135,0,0,0,0,1,0,0
HHS Regions,Region 2,1997,47,230,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,47,214,1.86915887850467,0,0,2,0,2,0,0
HHS Regions,Region 4,1997,47,212,1.41509433962264,0,0,0,0,3,0,0
HHS Regions,Region 5,1997,47,266,2.63157894736842,0,0,3,0,4,0,0
HHS Regions,Region 6,1997,47,919,0.326441784548422,0,0,0,0,3,0,0
HHS Regions,Region 7,1997,47,262,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,47,115,0.869565217391304,0,0,0,0,1,0,0
HHS Regions,Region 9,1997,47,153,2.61437908496732,0,0,0,0,3,1,0
HHS Regions,Region 10,1997,47,88,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,48,57,5.26315789473684,0,0,0,0,3,0,0
HHS Regions,Region 2,1997,48,254,3.1496062992126,0,0,6,0,2,0,0
HHS Regions,Region 3,1997,48,198,1.01010101010101,0,0,2,0,0,0,0
HHS Regions,Region 4,1997,48,146,1.36986301369863,0,0,0,0,1,1,0
HHS Regions,Region 5,1997,48,228,0.87719298245614,0,0,2,0,0,0,0
HHS Regions,Region 6,1997,48,798,1.62907268170426,0,0,1,0,12,0,0
HHS Regions,Region 7,1997,48,203,0.985221674876847,0,0,2,0,0,0,0
HHS Regions,Region 8,1997,48,130,0.769230769230769,0,0,0,0,1,0,0
HHS Regions,Region 9,1997,48,169,1.77514792899408,0,0,0,0,3,0,0
HHS Regions,Region 10,1997,48,59,1.69491525423729,0,0,1,0,0,0,0
HHS Regions,Region 1,1997,49,42,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,49,286,1.74825174825175,0,0,1,0,4,0,0
HHS Regions,Region 3,1997,49,175,1.71428571428571,0,0,1,0,1,1,0
HHS Regions,Region 4,1997,49,203,0.492610837438424,0,0,0,0,1,0,0
HHS Regions,Region 5,1997,49,321,4.3613707165109,0,0,2,0,12,0,0
HHS Regions,Region 6,1997,49,937,1.06723585912487,0,0,3,0,7,0,0
HHS Regions,Region 7,1997,49,227,1.3215859030837,0,0,2,0,1,0,0
HHS Regions,Region 8,1997,49,129,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,49,202,1.48514851485149,0,0,1,0,2,0,0
HHS Regions,Region 10,1997,49,85,1.17647058823529,0,0,1,0,0,0,0
HHS Regions,Region 1,1997,50,45,2.22222222222222,0,0,0,0,1,0,0
HHS Regions,Region 2,1997,50,355,2.53521126760563,0,0,2,0,6,1,0
HHS Regions,Region 3,1997,50,250,4,0,0,6,0,4,0,0
HHS Regions,Region 4,1997,50,170,4.11764705882353,0,0,3,0,4,0,0
HHS Regions,Region 5,1997,50,362,4.14364640883978,0,0,9,0,6,0,0
HHS Regions,Region 6,1997,50,1077,2.87836583101207,0,0,7,0,23,1,0
